PID,Name,Type,SMILES,H2,CO2,O2,N2,CH4,Link
LP66,TBDA1-ODPA-PI,semi-ladder,CC1=CC(*)=CC2=C1N1CN(C2)C2=C(C)C=C(C=C2C1)N1C(=O)C2=CC=C(OC3=CC4=C(C=C3)C(=O)N(*)C4=O)C=C2C1=O,36.4,13.4,2.5,0.5,0.37,https://doi.org/10.1021/mz500184z
LP67,TBDA2-ODPA-PI,semi-ladder,CC1=C(*)C=CC2=C1N1CN(C2)C2=C(C1)C=CC(N1C(=O)C3=CC=C(OC4=CC5=C(C=C4)C(=O)N(*)C5=O)C=C3C1=O)=C2C,159.0,106.0,16.2,3.8,2.2,https://doi.org/10.1021/mz500184z
LP68,TBDA1-SBI-PI,,CC1=CC(*)=CC2=C1N1CN(C2)C2=C(C1)C=C(C=C2C)N1C(=O)C2=CC3=C(OC4=CC5=C(C=C4O3)C(C)(C)CC53CC(C)(C)C4=CC5=C(OC6=CC7=C(C=C6O5)C(=O)N(*)C7=O)C=C34)C=C2C1=O,,,,,,
LP69,TBDA2-SBI-PI,,CC1=CC(*)=CC2=C1N1CN(C2)C2=C(C1)C=CC(N1C(=O)C3=CC4=C(OC5=CC6=C(C=C5O4)C(C)(C)CC64CC(C)(C)C5=CC6=C(OC7=CC8=C(C=C7O6)C(=O)N(*)C8=O)C=C45)C=C3C1=O)=C2C,,,,,,
LP7,PIM-SBF-1,ladder,*OC1=C(O*)C=C2C(=C1)C1=C(C=CC=C1)C21C2=C(C=CC=C2)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,4330.0,8850.0,1420.0,340.0,532.0,https://doi.org/10.1039/C8TA02601G
LP70,PIM-PI-SBI-10,,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(CC(C)(C)C2=CC4=C(C=C12)C(=O)N(*)C4=O)CC3(C)C,,2154.0,,84.0,168.0,
LP71,SBFDA-DMN,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C3=CC5=C(C=C3C3=C2C=CC=C3)C(=O)N(*)C5=O)C2=C4C=CC=C2)C(C)=C1,3342.0,6674.0,1193.0,369.0,581.0,https://doi.org/10.1021/acsmacrolett.5b00009
LP72,EAD-DMN,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(OC5=CC6=C(C=C5O4)C4(C)CCC6(C)C5=CC6=C(OC7=C(O6)C=C6C(=O)N(*)C(=O)C6=C7)C=C45)C=C3C2=O)C(C)=C1,4703.0,8070.0,1586.0,480.0,707.0,https://pubs.acs.org/doi/pdf/10.1021/acs.macromol.7b02556
LP73,TDA1-DMN,semi-ladder,CC1=C(*)C2=CC=CC=C2C(=C1)C1=CC(C)=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C)C3=C(C=CC=C3)C4(C)C3=C2C=C2C(=O)N(*)C(=O)C2=C3)C2=C1C=CC=C2,3050.0,3700.0,783.0,182.0,216.0,https://reader.elsevier.com/reader/sd/pii/S0032386116307418
LP74,TDAi3-DMN,semi-ladder,CC(C)C12C3=C(C=CC=C3)C(C(C)C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(C)C=C(C2=CC(C)=C(*)C3=CC=CC=C23)C2=C1C=CC=C2,2233.0,3154.0,594.0,160.0,211.0,https://reader.elsevier.com/reader/sd/pii/S0032386116307418
LP75,TPDAn-PPDAm,Linear,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C5C7=C(C=CC=C7)C6C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C3=C2C2C4=C(C=CC=C4)C3C3=C2C=CC=C3)C=CC(*)=C1,96.0,39.0,,1.8,1.5,https://pubs.acs.org/doi/pdf/10.1021/acs.macromol.6b00485
LP76,TPDAn-TPDAm,Linear,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C5C7=C(C=CC=C7)C6C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C=C2)C=CC(*)=C1,36.0,10.0,,0.4,0.3,https://pubs.acs.org/doi/pdf/10.1021/acs.macromol.6b00485
LP77,CTB1-DMN,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2CC(C4)C3=C(C2)C=C2C(=O)N(*)C(=O)C2=C3)C(C)=C1,1295.0,1661.0,320.0,76.0,96.0,https://pubs.acs.org/doi/pdf/10.1021/acs.macromol.7b01054
LP78,CTB2-DMN,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C(=O)C2CC4C(=O)C3=C2C=C2C(=O)N(*)C(=O)C2=C3)C(C)=C1,1150.0,948.0,206.0,40.0,40.0,https://pubs.acs.org/doi/pdf/10.1021/acs.macromol.7b01054
LP79,AO-PIM-1,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(\C(N)=N\O)=C(*)C(*)=C4\C(N)=N\O)C2=CC(O*)=C(O*)C=C12,912.0,1153.0,147.0,33.0,34.0,https://reader.elsevier.com/reader/sd/pii/S0376738814000787
LP8,PIM-SBF-2,ladder,CC1=CC2=C(C=C1C)C1(C3=CC(O*)=C(O*)C=C23)C2=C(C=C(C)C(C)=C2)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,9160.0,22300.0,3820.0,1150.0,2020.0,https://doi.org/10.1039/C8TA02601G
LP80,Amine-PIM-1,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(CN)=C(*)C(*)=C4CN)C2=CC(O*)=C(O*)C=C12,2210.0,1230.0,662.0,181.0,259.0,https://pubs.acs.org/doi/pdf/10.1021/ma401869p
LP81,Amine-PIM-1,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(CN)=C(*)C(*)=C4CN)C2=CC(O*)=C(O*)C=C12,876.0,295.0,216.0,55.7,82.8,https://pubs.acs.org/doi/pdf/10.1021/ma401869p
LP82,Amine-PIM-1,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(CN)=C(*)C(*)=C4CN)C2=CC(O*)=C(O*)C=C12,3070.0,1890.0,895.0,230.0,303.0,https://pubs.acs.org/doi/pdf/10.1021/ma401869p
LP83,Thioamide-PIM-1,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(C(N)=S)=C(*)C(*)=C4C(N)=S)C2=CC(O*)=C(O*)C=C12,92.0,150.0,19.0,3.9,8.7,https://pubs.acs.org/doi/pdf/10.1021/ma401869p
LP84,Thioamide-PIM-1,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(C(N)=S)=C(*)C(*)=C4C(N)=S)C2=CC(O*)=C(O*)C=C12,610.0,1120.0,140.0,37.0,56.0,https://pubs.acs.org/doi/pdf/10.1021/ma401869p
LP85,PIM-UV-20min,ladder,CC1(C)C2=CC(O*)=C(O*)C=C2C2=C1C1=C(C=C3OC4=C(OC3=C1)C(C#N)=C(*)C(*)=C4C#N)C(C)(C)C2,2818.0,1869.0,416.0,74.0,62.0,https://onlinelibrary.wiley.com/doi/epdf/10.1002/aenm.201200296
LP86,PIM-CO19,ladder,CCC1(C)CC2(C(C)C(C)(CC)C3=CC4=C(OC5=C(C#N)C(*)=C(*)C(C#N)=C5O4)C=C23)C2=CC(O*)=C(O*)C=C12,2100.0,6100.0,820.0,320.0,580.0,https://onlinelibrary.wiley.com/doi/epdf/10.1002/macp.201100089
LP87,PIM-CO15,ladder,CC1(C)CC2(CC(C)(C)C3=CC4=C(OC5=C(C#N)C(*)=C(*)C(C#N)=C5O4)C=C3O2)OC2=CC(O*)=C(O*)C=C12,900.0,2000.0,275.0,40.0,56.0,https://onlinelibrary.wiley.com/doi/epdf/10.1002/macp.201100089
LP88,TPHI-TR-450,Linear,FC(F)(F)C(C1=CC2=C(OC(*)=N2)C=C1)(C1=CC2=C(OC(=N2)C2=CC(OC3=CC=C(OC4=CC=CC(*)=C4)C4=C3C3C5=C(C=CC=C5)C4C4=C3C=CC=C4)=CC=C2)C=C1)C(F)(F)F,810.0,270.0,,8.0,4.0,https://pubs.rsc.org/en/content/articlelanding/2016/TA/C6TA03951K
LP89,TPHA-TC-400,Linear,FC(F)(F)C(C1=CC2=C(OC(*)=N2)C=C1)(C1=CC2=C(OC(=N2)C2=CC=C(OC3=CC=C(OC4=CC=C(*)C=C4)C4=C3C3C5=C(C=CC=C5)C4C4=C3C=CC=C4)C=C2)C=C1)C(F)(F)F,92.0,39.0,,2.2,2.0,https://pubs.rsc.org/en/content/articlelanding/2016/TA/C6TA03951K
LP9,PIM-SBF-3,ladder,CC1=CC2=C(C=C1C)C1(C3=CC(O*)=C(O*)C=C23)C2=C(C=CC=C2)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,5460.0,10900.0,1820.0,463.0,878.0,https://doi.org/10.1039/C8TA02601G
LP90,PIM-6FDA-OH,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3=C(C=C(C=C3)C(C3=CC=C4C(=O)N(*)C(=O)C4=C3)(C(F)(F)F)C(F)(F)F)C2=O)C2=CC(O)=C(*)C=C12,259.0,251.0,45.0,11.0,9.0,https://www.sciencedirect.com/science/article/pii/S0008622313004934
LP91,TDA1-APAF,semi-ladder,CC12C3=C(C=CC=C3)C(C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=CC(=C1)C(C1=CC=C(O)C(*)=C1)(C(F)(F)F)C(F)(F)F,94.0,40.0,8.5,1.5,0.73,https://doi.org/10.1016/j.polymer.2017.06.006
LP92,TDA1-APRF-TR460,semi-ladder,CC12C3=CC=C(*)C=C3C(C)(C3=C1C=CC=C3)C1=C2C=C(C=C1)C1=NC2=C(O1)C=CC(=C2)C(C1=CC=C2N=C(*)OC2=C1)(C(F)(F)F)C(F)(F)F,1547.0,1328.0,311.0,58.0,49.0,https://doi.org/10.1016/j.polymer.2017.06.006
LP93,6FDA-SBF-PBO,semi-ladder,FC(F)(F)C(C1=CC(*)=CC=C1)(C1=CC(=CC=C1)C1=NC2=CC3=C(C=C2O1)C1=C(C=CC=C1)C31C2=C(C=CC=C2)C2=C1C=C1OC(*)=NC1=C2)C(F)(F)F,985.0,1160.0,215.0,55.0,56.0,https://pubs.rsc.org/en/content/articlehtml/2014/py/c4py01221f
LP94,SPDA-SBF-PBO,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=CC(*)=C4)C2=CC3=C(OC4=CC(=CC=C4O3)C3=NC4=CC5=C(C=C4O3)C3=C(C=CC=C3)C53C4=C(C=CC=C4)C4=C3C=C3OC(*)=NC3=C4)C=C12,775.0,1280.0,225.0,62.0,85.0,https://pubs.rsc.org/en/content/articlehtml/2014/py/c4py01221f
LP95,PIM-PI-EA-12,semi-ladder,CC1C=C(C2=C(C=CC=C2)C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C)CCC4(C)C3=C2C=C2C(=O)N(*)C(=O)C2=C3)C(C)=C1,4230.0,7340.0,1380.0,457.0,369.0,https://pubs.rsc.org/en/content/articlepdf/2014/ta/c4ta00564c
LP96,O-PIM-PBO-1,semi-ladder,CC1(C)CC2(CC(C)(C)C3=CC4=C(OC5=C(O4)C=CC(=C5)C4=NC5=C(O4)C=CC(=C5)C(C4=CC5=C(C=C4)N=C(*)O5)(C(F)(F)F)C(F)(F)F)C=C23)C2=CC3=C(OC4=CC(*)=CC=C4O3)C=C12,245.0,257.0,47.0,11.0,10.0,https://pubs.acs.org/doi/pdf/10.1021/ma5011183
LP97,PIM-PBO-3,semi-ladder,CC1(C)CC2(CC(C)(C)C3=CC4=C(OC5=C(O4)C=CC(=C5)C4=NC5=C(O4)C=C4N=C(*)OC4=C5)C=C23)C2=CC3=C(OC4=CC(*)=CC=C4O3)C=C12,290.0,248.0,42.0,8.3,9.4,https://pubs.acs.org/doi/pdf/10.1021/ma5011183
LP98,PIM-MP-TB,ladder,*CN1CN(*)CC2=C1C=CC1=CC3=C(C=C21)C1CC3C2=C1C=C1C=CC3=C(CN(*)CN3C*)C1=C2,4050.0,3500.0,999.0,200.0,264.0,https://pubs.rsc.org/en/content/articlelanding/2018/TA/C8TA00509E
LP99,6FDA-DAT1-OH,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1O)C1C3=C(C=CC=C3)C2C2=C1C=CC(*)=C2O)C(C)(C)C,127.0,70.0,14.0,2.7,1.4,https://doi.org/10.1002/marc.201700303
LP7,(PIM-SBF),ladder,*OC1=C(O*)C=C2C(=C1)C1=C(C=CC=C1)C21C2=C(C=CC=C2)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,6320.0,13900.0,2640.0,786.0,1100.0,https://doi.org/10.1002/adma.201202393
LP107,PIM-2,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(F)=C(F)C(F)=C4C2=C(*)C(*)=C(F)C(F)=C2F)C2=CC(O*)=C(O*)C=C12,,,,,,https://pubs.rsc.org/en/content/articlehtml/2004/cc/b311764b
LP108,PIM-3,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(F)=C(F)C(C(=O)C2=C(F)C(F)=C(*)C(*)=C2F)=C4F)C2=CC(O*)=C(O*)C=C12,,,,,,https://pubs.rsc.org/en/content/articlehtml/2004/cc/b311764b
LP109,PIM-4,ladder,*OC1=CC2=CC=CC=C2C(=C1O-*)C1=C2C=CC=CC2=CC2=C1OC1=C(O2)C(C#N)=C(*)C(*)=C1C#N,,,,,,https://pubs.rsc.org/en/content/articlehtml/2004/cc/b311764b
LP110,PIM-5,ladder,FC1=C(F)C(=C(*)C(*)=C1F)C1=C(F)C(F)=C(F)C2=C1OC1=C(O2)C=C2C=CC=CC2=C1C1=C(O*)C(O*)=CC2=CC=CC=C12,,,,,,https://pubs.rsc.org/en/content/articlehtml/2004/cc/b311764b
LP111,PIM-6,ladder,FC1=C(F)C(=C(*)C(*)=C1F)C1=C(F)C(F)=C(F)C2=C1OC1=C(O2)C=C(O*)C(O*)=C1,,,,,,https://pubs.rsc.org/en/content/articlehtml/2004/cc/b311764b
LP112,PIM-Poly5,ladder,*OC1=C(O*)C=C2C(=C1)C(=O)CC21CC(=O)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ol800573m
LP113,PIM-Poly6,ladder,*OC1=C(O*)C=C2C(=C1)C(CC21CC(C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N)C1=CC=CC=C1)C1=CC=CC=C1,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ol800573m
LP114,PIM-Poly7,ladder,*OC1=C(O*)C=C2C(=C1)C1(CC22C3=C(C=CC=C3)C3=C2C=CC=C3)CC2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ol800573m
LP115,PIM-Poly10,ladder,*OC1=C(O*)C=C2C(=C1)C1(CC(=O)C3=C1C=C1OC4=C(OC1=C3)C(C#N)=C(*)C(*)=C4C#N)CC21C2=C(C=CC=C2)C2=C1C=CC=C2,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ol800573m
LP116,PIM-Poly5',ladder,CC1(C)CCC2(CCC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(C#N)=C(*)C(*)=C4C#N)C2=CC(O*)=C(O*)C=C12,,,,,,https://doi.org/10.1016/j.tetlet.2009.08.032
LP117,PIM-Poly8,ladder,*OC1=C(O*)C=C2C(=C1)C1(CCC2(C2=CC=CC=C2)C2=CC=CC=C2)CCC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,,,,,,https://doi.org/10.1016/j.tetlet.2009.08.032
LP118,PIM-Poly10',ladder,*OC1=C(O*)C=C2C(=C1)C(=O)CCC21CCC(=O)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,,,,,,https://doi.org/10.1016/j.tetlet.2009.08.032
LP119,PIM-Poly14,ladder,*OC1=C(O*)C=C2C(=C1)C(=CCC21CC=C(C2=CC=CC=C2)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N)C1=CC=CC=C1,,,,,,https://doi.org/10.1016/j.tetlet.2009.08.032
LP120,PIM-Poly15,ladder,*OC1=C(O*)C=C2C(=C1)C1(CCC22CCC3(C4=C(C=CC=C4)C4=C3C=CC=C4)C3=C2C=C2OC4=C(OC2=C3)C(C#N)=C(*)C(*)=C4C#N)C2=C(C=CC=C2)C2=C1C=CC=C2,,,,,,https://doi.org/10.1016/j.tetlet.2009.08.032
LP121,PIM-Poly16,ladder,*OC1=C(O*)C=C2C(=C1)C(=O)CCC21CCC2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,,,,,,https://doi.org/10.1016/j.tetlet.2009.08.032
LP122,MP-1,,COC1=CC2=C(C=C1OC)C(C1=C(C=C(OC)C(OC)=C1)C2C1=C(F)C(F)=C(O*)C(O*)=C1F)C1=C(F)C(F)=C2OC3=C(OC2=C1F)C=C1C(=C3)C(C)(C)CC11CC(C)(C)C2=CC(*)=C(*)C=C12,,,,,,https://onlinelibrary.wiley.com/doi/epdf/10.1002/app.28372
LP123,DNPIM,,*OC1=C(O*)C(=C2C=CC=CC2=C1)C1=C2C=CC=CC2=CC2=C1OC1=C(C#N)C(*)=C(*)C(C#N)=C1O2,,,,,,https://pubs.acs.org/doi/10.1021/ma101930x
LP124,TOTPIM,,CC1(C)CC2(CC(C)(C)C3=CC4=C(OC5=CC6=C(C=C5O4)S(=O)(=O)C4=CC5=C(OC7=C(C#N)C(*)=C(*)C(C#N)=C7O5)C=C4S6(=O)=O)C=C23)C2=CC(O*)=C(O*)C=C12,,,,,,https://pubs.acs.org/doi/10.1021/ma101930x
LP125,DSPIM1,,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(=C(*)C(*)=C4S(=O)(=O)C2=CC=CC=C2)S(=O)(=O)C2=CC=CC=C2)C2=CC(O*)=C(O*)C=C12,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ma900898m
LP126,DSPIM2,,COC1=CC=C(C=C1)S(=O)(=O)C1=C(*)C(*)=C(C2=C1OC1=CC3=C(C=C1O2)C1(CC(C)(C)C2=CC(O*)=C(O*)C=C12)CC3(C)C)S(=O)(=O)C1=CC=C(OC)C=C1,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ma900898m
LP127,DSPIM3,,CCS(=O)(=O)C1=C(*)C(*)=C(C2=C1OC1=CC3=C(C=C1O2)C1(CC(C)(C)C2=CC(O*)=C(O*)C=C12)CC3(C)C)S(=O)(=O)CC,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ma900898m
LP128,TFMPSPIM,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(=C(*)C(*)=C4C(F)(F)F)S(=O)(=O)C2=CC=CC=C2)C2=CC(O*)=C(O*)C=C12,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ma801858d
LP129,PIM-Cyclic1,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(C#N)=C(*)C(*)=N4)C2=CC(O*)=C(O*)C=C12,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ma051398s
LP130,PIM-Cyclic2,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=C(*)C(*)=N4)C2=CC(O*)=C(O*)C=C12,,,,,,https://pubs.acs.org/doi/epdf/10.1021/ma051398s
LP131,PIM-R1,,CC1(C)CC2(CC(C)(C)C3=CC4=C(OC5=C(O4)C4=C(C(=C)N(C4=C)C4=CC=CC=C4)C(O*)=C5O*)C=C23)C2=CC(*)=C(*)C=C12,,,,,,https://www.sciencedirect.com/science/article/pii/S0032386112003898
